queue_length,processing_rate,active_counters,capacity,current_arrivals,hour,day_of_week,number_of_tokens,completed_tokens,waiting_time_minutes
48,7.95,1,75,4,16,0,66,18,360.4
34,6.9,3,42,13,17,2,41,7,98.87
47,2.85,2,56,12,11,1,63,16,567.86
35,3.21,1,35,1,14,3,47,12,749.28
17,2.75,4,46,14,16,1,23,6,95.59
48,6.62,3,65,5,15,3,56,8,141.48
38,9.02,3,31,6,15,6,49,11,81.6
31,5.47,4,81,0,16,4,44,13,81.69
23,3.29,4,95,5,12,1,36,13,116.24
22,6.46,4,81,7,12,4,36,14,59.15
31,8.49,2,72,11,10,5,33,2,129.4
36,7.93,5,51,4,12,5,50,14,62.06
11,9.05,3,84,13,15,6,29,18,19.79
48,4.22,5,96,11,12,2,67,19,159.37
12,3.55,5,89,6,11,4,25,13,51.68
22,9.04,4,87,9,15,3,29,7,34.57
24,7.26,2,41,5,14,2,28,4,112.61
34,4.49,1,98,3,13,1,52,18,524.34
40,7.94,2,68,14,12,1,43,3,178.7
29,8.52,5,42,14,12,3,42,13,45.41
16,6.92,2,70,6,17,0,31,15,65.37
48,7.5,4,86,9,9,0,67,19,97.85
19,5.0,1,82,8,11,1,24,5,264.49
47,6.31,4,41,9,15,6,52,5,111.75
24,6.19,1,42,9,15,6,26,2,230.84
21,8.78,5,86,12,8,3,35,14,31.67
12,8.72,1,69,6,9,0,14,2,84.16
18,8.66,1,74,11,12,4,28,10,141.09
48,2.09,1,64,13,16,1,50,2,1379.29
35,8.0,2,32,4,17,5,44,9,127.25
11,8.07,2,34,6,14,4,28,17,49.09
40,7.43,5,40,2,17,3,40,0,63.84
18,8.05,1,85,1,12,5,33,15,152.98
11,8.74,3,39,10,8,4,26,15,25.09
8,5.76,5,63,14,13,0,17,9,19.28
6,6.02,1,96,4,15,6,6,0,62.52
27,3.0,1,60,3,14,0,30,3,623.25
13,5.08,2,95,4,9,5,15,2,76.26
30,7.15,5,99,7,12,2,34,4,60.22
18,8.24,1,70,11,11,6,29,11,151.87
46,3.74,1,92,3,16,1,57,11,737.15
15,3.1,5,61,14,17,5,27,12,57.64
4,7.3,3,49,8,8,3,15,11,10.51
34,2.02,5,86,6,13,1,49,15,234.36
11,3.43,5,79,9,10,4,23,12,43.19
24,2.23,3,54,12,16,6,28,4,213.83
20,3.34,5,41,11,12,3,23,3,88.66
35,3.45,1,68,6,13,3,49,14,702.71
22,5.1,5,46,14,16,0,33,11,49.47
15,5.22,3,74,12,16,4,33,18,59.2
38,8.99,4,40,12,15,0,56,18,63.73
44,6.08,5,99,7,16,0,54,10,88.0
41,7.79,2,52,11,11,6,46,5,182.06
38,2.83,1,99,5,13,2,46,8,929.06
13,3.8,1,67,7,12,0,13,0,236.87
30,7.62,2,31,2,12,1,41,11,135.58
4,2.42,2,66,9,11,3,17,13,60.09
34,5.89,5,78,9,9,6,39,5,69.94
22,6.79,2,81,13,13,0,22,0,112.07
28,6.82,4,62,0,16,5,29,1,62.55
42,2.18,3,51,5,8,1,52,10,384.43
10,4.58,2,34,0,14,4,12,2,75.41
17,7.09,2,47,8,13,3,26,9,80.94
46,3.19,4,67,13,10,6,51,5,246.34
11,7.56,1,66,1,8,5,16,5,84.27
8,7.97,1,93,10,11,6,27,19,65.11
9,9.86,5,39,1,16,6,10,1,8.32
43,3.68,4,71,6,9,5,52,9,174.81
16,8.6,3,77,1,10,4,21,5,43.09
37,6.16,3,73,9,9,5,53,16,119.27
6,4.99,4,45,7,9,1,19,13,10.98
45,2.98,3,83,5,17,6,49,4,306.84
12,7.88,1,64,13,15,4,28,16,94.58
39,3.89,3,57,6,10,6,40,1,232.11
41,4.97,3,31,6,14,5,49,8,195.41
8,2.5,4,42,5,15,4,19,11,45.06
49,8.41,4,70,9,10,4,67,18,106.16
26,8.13,3,88,10,9,0,32,6,61.04
1,7.87,2,98,8,15,0,9,8,4.53
4,4.4,4,82,12,10,0,19,15,11.88
28,3.39,5,74,8,14,5,47,19,114.1
36,7.1,5,49,14,8,3,46,10,62.0
37,5.97,1,53,6,13,1,48,11,427.22
18,3.43,3,90,8,16,5,32,14,107.22
7,7.49,2,87,12,10,6,24,17,32.55
47,9.93,1,56,9,14,0,65,18,325.05
44,7.98,3,55,2,13,4,59,15,125.15
0,7.92,4,36,2,15,5,14,14,2.43
21,9.6,5,71,0,10,4,25,4,28.22
16,3.62,2,76,4,10,6,26,10,155.09
6,6.52,5,82,14,11,4,20,14,16.36
24,9.84,4,88,3,10,4,41,17,37.08
44,3.32,3,67,1,16,2,56,12,268.27
3,7.6,4,98,8,11,3,6,3,12.99
35,6.69,4,82,2,13,1,51,16,91.05
5,6.69,5,44,14,15,1,8,3,10.76
30,7.58,2,55,7,15,0,45,15,121.82
18,9.44,4,77,5,12,2,32,14,32.08
43,8.26,5,48,13,12,5,56,13,72.38
38,2.45,2,38,12,13,5,49,11,531.36
26,8.82,3,93,4,17,1,28,2,59.36
9,3.8,3,83,0,14,3,18,9,55.91
25,5.02,1,80,3,17,4,32,7,300.63
18,5.69,5,68,2,14,6,23,5,46.82
38,5.85,2,33,0,11,0,51,13,221.88
2,5.48,4,32,11,13,3,18,16,4.7
44,9.5,3,93,14,14,1,62,18,112.23
12,7.65,2,58,4,12,2,27,15,53.68
49,7.05,5,40,5,12,0,63,14,96.52
27,2.4,1,87,1,9,1,41,14,675.15
19,9.23,3,56,14,14,5,19,0,44.87
27,9.28,2,50,13,13,0,38,11,105.3
7,8.24,2,68,2,8,1,16,9,23.9
40,2.06,2,75,10,11,5,53,13,667.75
38,2.46,5,95,13,10,6,47,9,211.97
0,3.8,5,65,14,10,5,9,9,0.0
2,3.05,5,94,5,14,4,21,19,7.09
12,5.19,4,92,3,17,2,22,10,31.77
27,9.38,2,64,8,11,4,42,15,101.15
48,5.78,3,60,4,15,1,56,8,164.17
24,2.11,5,57,3,16,6,38,14,139.34
32,4.26,5,30,1,10,3,45,13,107.81
37,2.36,2,54,5,12,6,55,18,543.98
5,2.29,5,72,9,11,6,13,8,29.48
43,4.21,4,96,1,17,6,46,3,153.78
44,4.2,4,92,11,13,4,50,6,175.93
31,8.3,5,80,12,17,3,38,7,44.43
44,9.8,2,31,6,11,5,51,7,152.34
46,4.97,2,93,2,15,1,64,18,279.77
20,5.43,2,98,8,10,2,34,14,134.76
15,8.76,1,38,10,12,3,30,15,119.67
20,4.15,5,31,4,8,1,28,8,51.93
10,3.25,2,63,7,13,3,21,11,105.04
36,8.82,4,89,10,12,4,51,15,70.74
35,2.37,3,90,5,15,1,38,3,295.37
34,6.96,3,60,13,16,4,38,4,95.54
18,6.5,2,39,11,15,0,25,7,83.86
19,4.77,3,65,9,15,1,19,0,75.98
17,4.52,3,78,7,10,3,22,5,83.64
46,8.17,1,99,12,11,0,60,14,390.2
40,2.69,4,78,12,11,4,43,3,253.33
48,3.89,4,32,10,12,4,58,10,214.23
13,7.86,1,34,11,16,3,17,4,95.13
14,6.39,1,90,2,16,0,31,17,136.82
30,3.02,3,55,2,17,6,44,14,196.1
0,9.06,5,34,4,8,5,17,17,0.0
2,5.15,3,44,10,15,2,21,19,8.76
15,8.62,1,45,9,8,3,27,12,102.68
22,8.3,4,30,2,9,4,26,4,40.18
10,7.0,3,45,7,14,1,10,0,34.6
11,5.96,5,66,9,15,0,28,17,25.04
9,9.84,3,32,12,8,5,22,13,20.67
31,3.16,2,81,11,10,2,35,4,337.96
15,7.8,3,76,13,14,1,20,5,43.78
7,3.53,1,42,7,16,0,22,15,126.04
37,4.71,4,84,1,15,5,48,11,120.78
11,4.47,4,50,11,15,3,30,19,34.15
23,9.58,1,95,3,16,5,40,17,144.41
27,9.74,2,83,9,17,3,28,1,82.17
7,3.46,1,56,12,10,6,19,12,139.02
27,2.18,3,67,0,15,0,43,16,244.44
35,7.76,1,87,3,8,5,51,16,269.38
25,5.34,1,91,11,15,2,40,15,286.13
7,2.71,2,75,12,14,5,24,17,90.83
49,7.47,3,40,12,15,0,56,7,123.72
27,6.36,5,37,10,8,1,29,2,54.59
27,9.84,5,93,12,13,1,43,16,41.12
36,3.82,4,50,3,14,5,53,17,161.52
40,5.23,1,92,9,12,5,45,5,529.69
35,6.34,4,93,8,12,3,42,7,92.65
26,8.33,2,49,14,14,0,38,12,106.23
16,6.39,5,37,2,10,3,23,7,39.05
8,6.9,1,87,14,13,2,26,18,79.15
32,3.81,2,75,1,14,6,37,5,284.22
19,8.78,2,60,8,8,1,33,14,64.76
12,5.43,1,38,8,9,4,21,9,132.38
27,3.13,2,44,0,11,4,43,16,301.42
47,7.31,1,55,5,15,0,47,0,385.63
28,3.73,1,39,9,17,0,34,6,449.29
12,2.78,3,58,7,13,4,24,12,102.4
45,8.9,4,65,2,8,0,47,2,76.24
34,5.68,2,66,10,17,1,52,18,177.29
5,7.99,2,52,8,12,2,19,14,25.04
17,4.32,3,70,1,14,2,21,4,90.99
4,8.3,3,57,5,13,3,14,10,11.1
46,2.9,3,77,0,16,1,63,17,318.27
24,4.85,5,67,12,15,6,26,2,56.2
1,9.82,5,60,6,11,0,6,5,0.0
9,8.35,5,43,2,12,0,11,2,14.88
29,5.98,1,58,6,14,6,33,4,334.14
49,4.72,2,80,3,15,3,57,8,315.38
44,8.98,4,78,8,12,3,62,18,85.2
4,6.36,1,72,4,16,0,16,12,40.31
32,8.07,2,34,2,17,0,37,5,119.03
0,8.03,2,71,14,11,6,10,10,3.17
17,2.14,3,36,7,11,1,30,13,183.6
31,3.01,3,71,5,15,6,36,5,206.02
46,7.28,1,65,1,8,3,51,5,379.24
48,3.29,3,56,2,15,6,64,16,288.67
10,4.04,2,87,7,12,6,20,10,86.83
20,9.57,3,75,14,8,6,34,14,41.66
25,6.48,5,95,9,11,1,33,8,51.72
24,8.01,3,54,6,9,5,40,16,63.28
21,6.46,2,56,9,11,0,27,6,108.33
26,6.42,1,30,5,15,4,32,6,241.72
48,2.75,4,71,13,12,6,48,0,303.82
12,4.75,3,81,0,8,4,19,7,51.48
32,4.26,2,54,8,14,5,36,4,259.04
33,5.13,4,83,2,8,0,51,18,97.32
40,8.39,4,96,13,16,3,47,7,72.08
34,4.98,5,35,4,10,4,50,16,89.75
0,5.61,4,87,6,10,3,18,18,0.0
20,5.18,2,99,14,13,4,31,11,138.08
47,2.75,2,82,6,17,3,61,14,511.26
5,5.53,3,95,2,13,6,8,3,19.85
27,3.56,3,87,14,13,4,38,11,172.57
16,3.49,3,31,3,8,3,28,12,91.33
4,2.75,4,51,9,12,5,17,13,23.32
30,4.85,4,66,6,13,1,34,4,108.09
4,8.06,5,49,7,15,3,19,15,6.55
37,4.21,3,53,1,8,1,43,6,178.03
2,4.5,1,94,8,12,1,16,14,27.52
22,7.14,5,94,6,10,0,34,12,41.49
36,3.57,1,30,12,9,6,51,15,604.92
36,9.18,4,32,7,15,5,47,11,60.22
9,6.16,5,75,5,14,1,15,6,17.78
9,5.58,5,84,5,17,2,24,15,22.1
18,6.46,2,93,8,14,6,30,12,99.65
16,3.33,4,74,3,12,1,18,2,79.96
20,6.91,4,55,10,16,3,34,14,41.96
13,4.9,5,94,10,12,1,15,2,34.98
8,9.18,4,53,4,9,3,14,6,20.97
45,3.35,5,64,8,10,3,62,17,184.04
0,6.06,2,53,0,11,2,13,13,5.03
44,6.78,5,57,3,12,1,61,17,85.69
12,2.27,4,45,6,10,1,30,18,88.34
3,4.91,4,88,10,14,4,16,13,8.48
0,7.86,5,83,14,12,6,19,19,0.0
48,8.56,5,45,8,12,4,53,5,76.55
39,4.51,5,44,14,13,0,46,7,117.33
31,8.39,3,40,13,14,3,37,6,82.54
33,9.74,4,94,12,17,2,52,19,54.29
27,8.85,4,97,10,17,4,44,17,49.41
30,2.94,3,72,11,15,1,47,17,206.85
7,7.92,5,98,12,16,0,21,14,12.18
38,4.56,2,42,9,11,2,57,19,287.95
25,9.91,5,39,5,12,5,43,18,33.33
33,5.88,5,70,11,12,1,34,1,74.55
2,2.98,3,79,7,15,1,9,7,14.51
49,7.8,4,88,12,16,5,59,10,90.69
11,4.58,5,68,8,14,3,28,17,30.13
0,9.98,4,32,9,12,3,12,12,3.46
43,9.84,1,36,3,10,4,51,8,307.28
4,7.25,4,78,0,8,4,12,8,9.46
29,3.04,2,55,13,16,1,45,16,289.63
29,7.49,2,62,7,12,6,35,6,132.75
16,2.74,5,77,1,16,1,24,8,65.95
47,2.23,4,31,10,17,4,47,0,317.28
46,8.58,5,61,0,11,5,47,1,75.66
22,3.68,3,33,12,12,4,25,3,137.79
14,5.03,2,49,6,11,1,27,13,95.25
36,9.79,5,65,11,9,2,39,3,47.02
20,4.69,3,61,9,8,1,21,1,82.24
13,4.37,5,57,8,15,2,20,7,33.36
1,9.35,4,30,10,11,2,18,17,0.0
10,2.89,4,89,14,12,1,28,18,60.03
38,8.08,4,85,11,13,6,51,13,77.9
37,9.9,4,64,11,15,6,56,19,53.98
33,9.21,1,59,8,15,0,42,9,212.86
37,7.21,3,83,2,14,4,53,16,117.19
49,4.51,3,65,5,11,6,56,7,245.29
33,4.03,4,84,6,13,3,46,13,141.35
17,8.55,1,87,13,11,1,24,7,140.87
29,9.04,4,94,9,14,2,33,4,55.75
14,6.2,1,98,8,8,1,29,15,140.03
26,3.95,4,80,14,12,4,33,7,117.41
33,2.9,2,51,1,17,5,42,9,343.3
37,2.7,2,82,7,17,6,44,7,411.73
32,7.75,5,65,13,11,6,40,8,57.03
23,5.36,4,97,6,14,6,40,17,76.3
14,9.24,3,65,3,16,2,16,2,29.12
29,7.92,5,81,1,12,3,45,16,44.9
41,3.53,2,82,7,11,3,60,19,402.17
16,6.91,4,79,10,16,6,30,14,31.34
4,5.48,5,70,4,12,3,20,16,7.18
28,6.62,4,47,5,16,5,35,7,63.46
3,7.9,2,51,13,15,6,4,1,11.1
9,8.45,5,95,10,11,0,25,16,10.46
16,8.75,2,50,6,14,2,33,17,63.58
9,4.03,1,73,14,12,5,13,4,156.92
16,2.25,2,76,14,17,2,24,8,210.05
19,7.91,4,68,9,11,6,27,8,45.23
23,2.85,3,58,0,12,5,24,1,180.88
4,4.52,2,83,7,12,6,5,1,36.89
33,2.03,3,46,3,16,5,51,18,323.8
5,7.45,1,89,12,16,6,7,2,40.69
1,3.34,5,60,8,13,0,17,16,0.0
12,7.24,5,78,0,11,2,25,13,22.68
42,9.93,3,31,10,9,5,55,13,85.24
42,2.58,5,77,1,10,0,55,13,224.27
47,2.62,2,43,13,9,1,52,5,537.17
10,4.72,3,88,5,12,6,12,2,45.86
46,8.93,4,87,10,13,4,46,0,92.24
22,3.72,2,87,9,12,5,37,15,203.89
15,4.88,2,80,10,9,3,18,3,96.78
30,2.55,2,31,13,12,0,30,0,404.61
10,8.11,4,70,0,16,0,26,16,17.2
15,5.27,1,45,3,11,5,32,17,198.97
7,8.07,5,33,7,17,0,14,7,5.53
3,9.23,3,41,14,9,1,4,1,2.86
39,3.86,1,58,9,10,0,56,17,700.06
3,8.46,3,36,4,10,4,18,15,4.64
24,2.47,5,43,12,16,4,33,9,111.01
2,9.19,4,41,8,11,6,9,7,9.36
31,7.21,2,34,10,8,6,42,11,124.88
2,8.99,2,61,10,8,3,17,15,7.22
26,2.0,4,72,5,14,1,37,11,224.29
28,3.35,1,98,0,14,4,38,10,567.83
31,5.12,1,74,5,9,5,50,19,362.62
49,5.04,3,38,5,16,2,67,18,195.94
18,3.81,4,78,12,16,2,18,0,71.86
20,5.05,1,62,5,12,2,22,2,275.82
4,3.03,4,47,7,10,6,15,11,21.6
17,5.3,5,38,14,10,5,25,8,46.38
27,8.42,2,91,5,10,0,31,4,108.58
41,5.83,2,86,4,13,5,41,0,238.29
21,2.14,2,58,14,11,0,30,9,334.03
20,5.37,4,54,10,15,2,36,16,51.46
5,2.22,4,44,1,12,3,8,3,41.93
0,9.73,3,35,3,8,3,14,14,0.0
4,3.02,2,71,13,16,0,22,18,40.56
40,7.66,3,58,14,8,2,47,7,103.62
11,9.78,2,33,9,13,5,25,14,38.49
25,8.61,3,86,4,8,3,31,6,62.17
45,7.59,3,78,9,10,0,59,14,134.97
33,8.72,5,73,3,17,5,40,7,47.27
48,9.85,3,43,1,12,2,57,9,112.14
13,6.97,4,32,6,17,1,30,17,27.52
25,6.47,3,91,9,14,2,28,3,95.72
44,7.03,2,93,9,17,6,58,14,183.55
26,6.26,3,74,1,15,2,36,10,86.92
8,7.08,1,87,0,16,5,10,2,69.76
25,5.6,2,49,13,13,5,39,14,152.61
46,3.75,1,87,4,16,4,48,2,741.37
21,2.96,2,86,11,15,4,35,14,207.15
46,2.55,4,97,12,16,5,51,5,269.37
29,4.11,4,81,0,17,5,29,0,102.3
42,2.37,4,66,0,11,1,55,13,307.06
47,6.54,1,37,14,16,1,62,15,428.03
16,4.27,5,73,0,14,2,16,0,53.0
25,8.6,2,34,5,12,6,41,16,99.77
35,2.59,4,98,8,12,3,42,7,231.32
0,3.81,2,60,9,8,6,17,17,1.17
7,7.84,1,74,12,9,1,22,15,52.75
48,6.79,5,38,10,17,2,53,5,81.56
34,2.52,1,61,11,10,6,43,9,940.86
14,9.02,2,62,0,15,0,23,9,45.11
46,9.02,5,96,4,13,4,50,4,63.74
21,4.64,5,59,14,17,6,32,11,51.75
13,4.72,1,58,8,12,3,32,19,186.11
25,9.91,4,32,13,8,2,41,16,40.31
27,7.01,2,86,8,16,6,40,13,116.52
22,6.25,3,59,0,10,5,35,13,82.15
13,8.71,3,38,7,10,0,15,2,33.24
23,4.28,1,55,0,9,4,34,11,321.42
1,5.43,2,31,14,11,0,20,19,5.24
44,4.14,2,91,7,9,2,61,17,318.43
25,8.31,1,32,0,16,1,36,11,182.94
13,6.59,2,75,11,17,4,14,1,60.22
6,7.27,4,97,4,14,0,7,1,15.74
2,4.02,1,54,7,15,1,18,16,31.36
46,3.76,4,80,5,10,3,55,9,213.59
22,5.91,2,42,8,13,2,39,17,129.36
45,7.9,1,73,0,17,2,63,18,342.83
42,6.2,2,64,8,13,4,42,0,237.2
46,2.26,1,84,0,8,0,49,3,1218.61
44,8.95,2,38,9,13,3,47,3,167.07
17,2.52,4,31,9,10,5,18,1,112.93
37,9.65,4,90,2,10,4,55,18,66.71
34,2.2,2,70,0,10,5,45,11,527.35
14,7.56,1,73,2,17,4,23,9,112.56
24,2.66,3,93,11,17,0,36,12,180.28
36,9.29,4,60,10,15,3,55,19,61.56
27,5.72,4,76,12,12,0,41,14,79.47
9,3.1,3,31,1,11,2,11,2,66.16
38,4.73,2,98,1,16,5,57,19,244.56
16,3.32,1,87,8,16,1,28,12,293.43
38,3.36,2,73,7,8,6,45,7,336.78
21,9.58,5,85,0,9,2,27,6,26.84
25,5.56,4,72,11,15,2,32,7,68.31
43,8.31,5,63,13,12,5,60,17,72.53
24,7.12,4,59,3,14,4,32,8,57.38
16,7.41,4,99,12,8,2,21,5,36.23
12,3.05,5,84,0,17,6,15,3,41.49
19,3.87,5,96,0,12,3,33,14,66.43
24,8.29,2,42,11,10,2,28,4,101.17
3,9.77,5,32,11,17,3,7,4,5.06
9,4.1,2,55,3,9,0,15,6,69.89
2,4.17,2,86,1,9,4,10,8,17.97
40,5.78,2,53,2,16,3,46,6,206.64
44,9.87,4,82,10,11,2,52,8,80.79
17,4.15,4,99,8,11,4,36,19,68.49
46,5.26,5,72,1,14,6,55,9,123.57
35,9.13,4,89,3,17,4,38,3,62.92
46,2.02,5,87,0,17,3,51,5,276.46
21,2.32,4,78,1,9,3,34,13,136.2
33,6.83,1,71,4,10,1,41,8,332.26
46,9.26,1,95,13,10,1,46,0,338.21
7,3.91,5,40,9,13,4,23,16,25.63
39,5.76,4,47,14,10,5,51,12,113.51
48,5.6,4,81,0,12,5,54,6,145.38
43,5.78,2,75,10,11,1,51,8,252.92
18,6.98,3,73,6,10,2,28,10,57.93
41,5.76,5,51,3,15,0,43,2,85.36
40,5.58,3,82,5,17,4,51,11,144.2
36,5.79,3,88,7,10,0,38,2,141.1
5,6.73,5,59,12,13,1,19,14,13.47
25,6.3,4,37,5,14,3,34,9,67.87
33,8.83,5,86,13,14,6,33,0,49.19
44,2.4,3,49,1,9,4,57,13,367.96
5,8.67,4,54,0,10,1,24,19,15.84
36,8.75,1,48,7,17,2,41,5,247.82
32,4.28,5,34,7,17,6,33,1,88.65
21,5.7,5,56,8,11,4,28,7,46.23
20,5.51,4,69,5,14,4,20,0,61.97
5,3.75,1,55,11,9,5,8,3,80.75
5,5.17,1,56,0,10,3,8,3,65.51
47,2.36,4,91,13,14,4,51,4,339.26
3,4.22,2,79,8,14,3,22,19,21.96
29,8.53,5,71,11,17,1,37,8,45.14
10,4.28,5,58,12,10,2,22,12,36.57
29,8.55,3,68,14,8,6,46,17,65.21
30,6.25,4,89,13,10,6,46,16,84.78
23,9.04,3,70,2,12,2,23,0,54.99
8,6.6,3,62,10,14,4,22,14,32.1
2,2.24,1,45,5,11,4,3,1,62.42
30,7.4,5,52,9,8,1,45,15,51.48
39,2.36,3,36,12,13,5,58,19,375.13
36,5.6,1,55,9,9,5,40,4,387.42
35,9.44,4,41,14,10,5,53,18,63.96
23,3.32,3,34,10,11,3,27,4,161.81
30,5.12,5,98,11,13,5,31,1,83.62
5,7.84,3,78,13,13,2,11,6,14.87
1,9.06,4,55,14,14,6,3,2,0.1
19,7.37,3,34,8,12,6,35,16,61.65
27,4.07,5,51,10,14,3,29,2,91.47
10,7.4,1,42,12,9,1,22,12,78.5
3,4.37,5,57,2,8,2,9,6,5.47
14,7.75,1,62,4,17,6,16,2,103.99
5,9.63,2,52,12,15,2,19,14,14.04
48,7.77,5,47,13,8,6,65,17,77.43
29,8.9,5,59,4,9,0,38,9,39.62
37,2.02,4,55,9,17,1,43,6,273.59
1,7.74,3,45,6,13,1,9,8,5.39
14,8.64,1,68,3,8,0,18,4,94.76
10,2.32,1,62,10,17,3,29,19,258.41
7,8.97,4,55,3,10,6,14,7,12.92
25,4.05,4,77,6,14,6,38,13,108.73
44,7.32,3,94,8,15,6,47,3,115.45
43,8.4,3,67,14,11,5,62,19,115.15
4,7.3,5,31,10,10,5,17,13,2.65
5,2.74,2,35,3,8,5,16,11,54.0
25,6.77,3,75,3,16,5,26,1,77.48
3,6.4,4,79,5,17,5,15,12,5.52
18,9.2,3,67,5,13,0,18,0,43.46
19,5.23,1,47,6,13,1,38,19,253.1
32,4.57,2,56,14,16,3,38,6,213.33
19,8.0,5,70,0,8,2,27,8,28.24
48,5.3,1,46,12,13,5,64,16,626.79
11,7.17,1,91,10,12,0,23,12,102.65
46,7.17,2,58,13,13,6,55,9,225.42
0,9.1,5,87,2,15,3,15,15,6.45
25,6.79,4,99,8,12,3,30,5,65.08
13,6.02,5,51,5,9,3,28,15,19.67
37,3.11,3,35,5,9,0,47,10,236.19
36,2.93,1,55,4,17,2,55,19,740.07
10,3.23,3,68,10,12,5,12,2,69.84
35,3.37,4,41,2,10,3,43,8,182.72
12,7.1,3,43,10,17,0,26,14,35.55
42,7.93,5,51,4,10,6,54,12,70.99
2,6.24,3,80,13,15,1,11,9,6.51
32,8.63,4,52,0,14,6,51,19,61.27
5,9.93,4,77,2,8,0,17,12,7.01
49,8.56,4,79,3,12,0,65,16,97.08
9,7.56,5,42,4,16,0,15,6,17.81
4,6.26,4,39,9,11,3,9,5,17.37
22,5.59,1,84,8,8,0,34,12,231.81
9,2.68,4,38,3,15,1,25,16,44.7
43,5.19,3,81,2,12,3,57,14,189.64
1,9.28,3,31,9,9,6,4,3,0.0
12,8.46,3,54,0,8,1,26,14,28.49
39,3.73,5,42,12,10,4,52,13,146.6
1,5.73,3,80,9,16,6,11,10,7.97
19,8.53,5,87,5,8,0,22,3,27.32
0,2.54,5,63,6,11,5,2,2,0.0
36,5.1,4,64,9,15,5,37,1,99.97
8,8.81,1,32,14,15,3,27,19,54.53
16,5.23,4,88,7,17,5,25,9,46.09
8,2.62,4,99,11,15,6,20,12,47.7
10,6.34,5,77,0,17,3,29,19,16.8
14,8.89,5,93,11,15,6,31,17,17.58
23,6.72,3,48,3,11,0,38,15,74.26
37,3.81,3,96,10,15,2,47,10,187.34
34,5.07,4,34,4,16,2,43,9,97.19
29,5.6,2,96,1,14,1,37,8,173.92
30,6.63,2,40,0,9,0,41,11,136.67
48,8.07,3,97,7,16,5,66,18,117.33
4,2.79,2,98,5,15,0,4,0,41.38
43,9.12,3,30,4,12,4,60,17,105.52
49,2.1,5,92,12,10,2,62,13,312.54
13,4.96,4,58,8,14,5,13,0,49.73
10,2.22,1,41,12,9,6,26,16,267.35
8,5.14,4,70,10,10,6,18,10,25.59
33,6.21,3,31,12,16,2,52,19,101.98
11,6.09,3,66,10,11,0,25,14,44.44
34,3.33,4,74,1,11,5,37,3,176.82
34,7.17,3,77,9,10,1,48,14,106.65
0,2.36,2,53,11,12,6,13,13,0.0
39,8.1,2,51,7,10,0,39,0,171.24
21,9.57,3,40,10,16,1,29,8,43.65
28,4.72,3,87,13,10,5,34,6,135.95
7,6.14,2,75,9,9,2,17,10,31.39
10,5.03,3,58,12,12,4,11,1,40.03
40,2.05,3,64,8,13,3,41,1,447.5
36,5.09,4,44,0,8,2,41,5,107.13
13,8.33,1,89,6,13,1,31,18,110.93
29,6.77,2,71,7,17,0,48,19,121.8
34,2.81,4,72,2,10,6,47,13,205.34
20,8.78,1,78,13,11,5,22,2,155.48
36,6.25,3,93,3,13,2,42,6,132.5
4,8.73,3,61,12,15,6,10,6,8.72
18,6.64,4,93,2,16,6,21,3,40.29
13,6.48,3,31,6,13,4,17,4,47.38
25,2.84,5,53,8,14,5,41,16,118.68
3,3.34,4,95,2,12,1,6,3,18.3
24,9.78,1,67,12,16,5,36,12,148.6
44,3.83,4,60,5,11,5,59,15,197.32
41,9.82,2,55,7,17,0,56,15,130.06
24,6.26,4,58,5,13,3,25,1,70.85
17,3.09,3,96,1,12,6,34,17,129.49
39,2.79,3,54,12,8,1,39,0,270.07
7,3.67,5,77,6,12,0,24,17,31.05
38,9.41,5,94,1,12,6,45,7,58.14
39,5.31,5,82,1,16,3,49,10,94.1
13,5.16,1,96,1,8,0,27,14,154.77
31,4.51,5,47,10,12,3,46,15,99.68
37,3.18,1,38,14,14,3,53,16,806.35
32,5.9,5,67,0,13,3,48,16,78.86
22,3.04,1,50,13,13,0,33,11,505.26
14,8.68,4,94,10,14,5,23,9,28.46
32,4.96,4,50,0,13,3,51,19,106.5
24,5.0,3,56,13,12,5,29,5,109.51
16,5.79,1,99,6,17,6,23,7,166.91
32,5.55,2,73,14,12,6,44,12,199.04
46,9.96,3,57,12,16,1,47,1,88.64
1,6.36,4,74,13,15,4,19,18,0.0
13,2.71,1,46,13,17,5,22,9,286.07
39,6.86,5,69,14,11,6,42,3,80.94
39,3.21,2,32,13,11,4,50,11,423.55
38,2.25,4,95,11,17,3,55,17,256.36
5,9.77,3,75,4,12,4,11,6,14.95
5,8.19,1,59,10,10,4,24,19,41.89
2,9.84,2,98,2,15,3,5,3,0.87
6,5.82,1,38,0,14,5,12,6,69.73
7,6.26,5,40,10,12,3,16,9,14.66
41,3.35,3,98,9,17,1,55,14,243.53
14,3.98,1,95,5,10,2,25,11,243.17
46,8.71,4,60,10,12,0,46,0,92.44
28,4.85,3,62,0,10,3,47,19,135.36
32,8.61,4,68,8,17,3,49,17,54.89
29,7.67,1,75,1,12,4,44,15,255.1
38,3.42,3,66,0,8,1,42,4,220.94
26,6.06,4,89,14,13,6,44,18,74.15
35,7.42,5,60,11,17,6,38,3,60.28
28,3.88,5,40,6,11,4,33,5,97.88
37,8.65,1,31,5,11,5,53,16,296.84
32,6.36,3,56,5,15,3,38,6,101.52
36,3.32,2,31,13,9,3,42,6,325.24
26,6.66,3,50,4,11,4,34,8,92.53
32,10.0,5,87,10,9,3,44,12,36.43
